FRED Graph.observation_date.Variation.Date Hierarchy.Year	Sum(FRED Graph.FYFSGDA188S)
1929	0.70202
1930	0.80078
1931	-0.59697
1932	-4.59494
1933	-4.55261
1934	-5.36826
1935	-3.77554
1936	-5.07368
1937	-2.35799
1938	-0.10189
1939	-3.0459
1940	-2.83773
1941	-3.82108
1942	-12.35478
1943	-26.86278
1944	-21.18852
1945	-20.85594
1946	-7.00376
1947	1.60967
1948	4.29777
1949	0.21286
1950	-1.04027
1951	1.75894
1952	-0.41351
1953	-1.66822
1954	-0.29548
1955	-0.70344
1956	0.87837
1957	0.71977
1958	-0.5754
1959	-2.46313
1960	0.0555
1961	-0.5932
1962	-1.18327
1963	-0.7461
1964	-0.86418
1965	-0.19009
1966	-0.45463
1967	-1.00505
1968	-2.67485
1969	0.31859
1970	-0.26479
1971	-1.97734
1972	-1.82729
1973	-1.0459
1974	-0.39702
1975	-3.15994
1976	-3.93571
1977	-2.5775
1978	-2.5168
1979	-1.55009
1980	-2.5839
1981	-2.46233
1982	-3.8273
1983	-5.71821
1984	-4.591
1985	-4.89304
1986	-4.83067
1987	-3.0839
1988	-2.96343
1989	-2.70561
1990	-3.7067
1991	-4.37207
1992	-4.45255
1993	-3.71873
1994	-2.78825
1995	-2.14604
1996	-1.33072
1997	-0.25513
1998	0.76433
1999	1.3042
2000	2.30458
2001	1.21184
2002	-1.44347
2003	-3.29583
2004	-3.37825
2005	-2.44145
2006	-1.79638
2007	-1.11026
2008	-3.10465
2009	-9.75744
2010	-8.60107
2011	-8.33091
2012	-6.62345
2013	-4.0359
2014	-2.76225
2015	-2.42755
2016	-3.12729
2017	-3.41611
2018	-3.79564
2019	-4.60212
2020	-14.99223
2021	-12.06874
